id,name,region,country,lat,lon,altitude_m,types,plan_template,maps_url,sbb_url,webcam_url,status
arlesheim-heights,Arlesheim Heights,Basel Uplands,CH,47.27588,7.87821,867,nature|food|family|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.27588,7.87821",https://www.sbb.ch/en,,candidate
basel-uplands-panorama-01,Basel Uplands Panorama 01,Basel Uplands,CH,47.56243,7.68676,1102,family|viewpoint|nature|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.56243,7.68676",https://www.sbb.ch/en,,candidate
basel-uplands-panorama-02,Basel Uplands Panorama 02,Basel Uplands,CH,47.35816,7.61487,1055,food|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.35816,7.61487",https://www.sbb.ch/en,,candidate
basel-uplands-panorama-03,Basel Uplands Panorama 03,Basel Uplands,CH,47.36268,7.90642,581,nature|food|family|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.36268,7.90642",https://www.sbb.ch/en,,candidate
basel-uplands-panorama-04,Basel Uplands Panorama 04,Basel Uplands,CH,47.49999,7.71421,1176,viewpoint|family|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.49999,7.71421",https://www.sbb.ch/en,,candidate
basel-uplands-panorama-05,Basel Uplands Panorama 05,Basel Uplands,CH,47.53561,7.55888,1241,family|viewpoint|nature|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.53561,7.55888",https://www.sbb.ch/en,,candidate
basel-uplands-panorama-06,Basel Uplands Panorama 06,Basel Uplands,CH,47.55637,7.89786,1168,food|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.55637,7.89786",https://www.sbb.ch/en,,candidate
basel-uplands-panorama-07,Basel Uplands Panorama 07,Basel Uplands,CH,47.40283,7.57917,602,nature|food|family|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.40283,7.57917",https://www.sbb.ch/en,,candidate
basel-uplands-panorama-08,Basel Uplands Panorama 08,Basel Uplands,CH,47.31609,7.90562,632,viewpoint|family|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.31609,7.90562",https://www.sbb.ch/en,,candidate
basel-uplands-panorama-09,Basel Uplands Panorama 09,Basel Uplands,CH,47.28495,7.66811,737,family|viewpoint|nature|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.28495,7.66811",https://www.sbb.ch/en,,candidate
basel-uplands-panorama-10,Basel Uplands Panorama 10,Basel Uplands,CH,47.38240,7.61840,1172,nature|food|family|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.38240,7.61840",https://www.sbb.ch/en,,candidate
basel-uplands-panorama-11,Basel Uplands Panorama 11,Basel Uplands,CH,47.38183,7.74446,806,food|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.38183,7.74446",https://www.sbb.ch/en,,candidate
basel-uplands-panorama-12,Basel Uplands Panorama 12,Basel Uplands,CH,47.50484,7.85564,624,family|viewpoint|nature|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.50484,7.85564",https://www.sbb.ch/en,,candidate
basel-uplands-panorama-13,Basel Uplands Panorama 13,Basel Uplands,CH,47.43778,7.57040,688,viewpoint|family|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.43778,7.57040",https://www.sbb.ch/en,,candidate
belchenflue,Belchenflue,Basel Uplands,CH,47.31592,7.77160,1195,family|viewpoint|nature|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.31592,7.77160",https://www.sbb.ch/en,,candidate
burenflue,Bürenflue,Basel Uplands,CH,47.46012,7.76204,561,food|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.46012,7.76204",https://www.sbb.ch/en,,candidate
gempenplateau,Gempenplateau,Basel Uplands,CH,47.33771,7.85235,666,viewpoint|family|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.33771,7.85235",https://www.sbb.ch/en,,candidate
homberg,Homberg,Basel Uplands,CH,47.32565,7.90946,938,food|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.32565,7.90946",https://www.sbb.ch/en,,candidate
langenbruck-panorama,Langenbruck Panorama,Basel Uplands,CH,47.44050,7.81780,538,food|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.44050,7.81780",https://www.sbb.ch/en,,candidate
oberbaselbiet-trailhead,Oberbaselbiet Trailhead,Basel Uplands,CH,47.37166,7.58122,738,food|nature|viewpoint,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.37166,7.58122",https://www.sbb.ch/en,,candidate
reigoldswil-ridge,Reigoldswil Ridge,Basel Uplands,CH,47.43096,7.82806,939,family|viewpoint|nature|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.43096,7.82806",https://www.sbb.ch/en,,candidate
sissach-panorama,Sissach Panorama,Basel Uplands,CH,47.48663,7.61878,1167,viewpoint|family|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.48663,7.61878",https://www.sbb.ch/en,,candidate
wisenberg,Wisenberg,Basel Uplands,CH,47.54372,7.62538,953,viewpoint|family|food,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=47.54372,7.62538",https://www.sbb.ch/en,,candidate
bantiger,Bantiger,"Bern, BE",CH,46.97700,7.52800,947,nature|viewpoint,Short hike from Ferenberg (30 min) | Transmission tower viewpoint | Gasthof Bantiger for lunch,"https://maps.google.com/?q=46.977,7.528",https://www.sbb.ch/en,,baseline
gurten,Gurten,"Bern, BE",CH,46.92100,7.43500,858,nature|viewpoint|family|food,Funicular from Wabern | Panoramic view over Bern and Alps | Restaurant Gurten with terrace | Playground for kids,"https://maps.google.com/?q=46.921,7.435",https://www.sbb.ch/en,,baseline
adelboden,Adelboden,"Berner Oberland, BE",CH,46.49300,7.55700,1353,town|mountain|food|family,Stroll through the village | Panoramic winter walk | Lunch at a traditional restaurant | Optional: Tschentenalp gondola,"https://maps.google.com/?q=46.493,7.557",https://www.sbb.ch/en,,baseline
brienz,Brienz,"Berner Oberland, BE",CH,46.75400,8.04100,566,town|lake|family|food,Lakeside promenade walk | Ballenberg open-air museum (optional) | Brienz Rothorn steam railway | Lunch by the lake,"https://maps.google.com/?q=46.754,8.041",https://www.sbb.ch/en,,baseline
grindelwald,Grindelwald,"Berner Oberland, BE",CH,46.62400,8.04100,1034,town|mountain|viewpoint|family,Village walk with Eiger views | First gondola for panorama | Lunch at a mountain restaurant | Optional: Jungfraujoch excursion,"https://maps.google.com/?q=46.624,8.041",https://www.sbb.ch/en,,baseline
hasliberg,Hasliberg,"Berner Oberland, BE",CH,46.74700,8.16900,1082,town|mountain|family,Gondola from Meiringen | Muggestutz dwarf trail (family) | Panoramic walks | Mountain restaurants,"https://maps.google.com/?q=46.747,8.169",https://www.sbb.ch/en,,baseline
niederhorn,Niederhorn,"Berner Oberland, BE",CH,46.71000,7.77800,1963,nature|viewpoint|mountain,Funicular + gondola from Beatenbucht | Summit panorama over Thunersee | Ibex viewing in winter | Mountain restaurant,"https://maps.google.com/?q=46.710,7.778",https://www.sbb.ch/en,,baseline
thun,Thun,"Berner Oberland, BE",CH,46.75900,7.62900,558,town|lake|food|family,Old town walk + castle visit | Lakeside promenade | Lunch in Obere Hauptgasse | Optional: boat on Thunersee,"https://maps.google.com/?q=46.759,7.629",https://www.sbb.ch/en,,baseline
adelboden-silleren,Adelboden Silleren,Bernese Oberland,CH,46.42915,7.76401,1490,food|family|viewpoint|mountain,Cable car or short hike | Panorama viewpoint stop | Mountain hut lunch,"https://maps.google.com/?q=46.42915,7.76401",https://www.sbb.ch/en,,candidate
